"","city","floor","total_area","living_area","kitchen_area","room_count","height","is_studio","view_airport","view_building","view_city","view_cottages","view_east","view_field","view_forest","view_garden","view_highway","view_house","view_mall","view_north","view_parking","view_playground","view_school","view_south","view_street","view_water","view_west","view_yard","total_price"
"18732","Екатеринбург",7,27.53,12.45,22.36,1,"2.64","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3936790
"18735","Ижевск",17,76.9,73,20.4,3,"0","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5002900
"18736","Тюмень",2,93.3,45.47,15.49,3,"2.67","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510000
"18741","Челябинск",7,65.07,32.54,16.38,2,"2.64","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4034340
"18743","Краснодар",4,40.4,15.2,11.9,1,"2.78","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4444000
"18745","Тюмень",10,33.45,11.82,8.99,1,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2520000
"18751","Самара",3,53.65,25.3,15.2,2,"2.54","0",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3945601
"18752","Казань",18,30.15,11.75,7.65,1,"3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3400000
"18753","Ставрополь",9,40.9,15.3,11.3,1,"2.8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190200
"18754","Тюмень",7,56.56,27.9,14.56,2,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4280000
"18755","Белгород",5,47.83,18.34,18.21,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000
"18760","Тюмень",3,48.05,23.25,11.4,2,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000
"18764","Самара",22,43,15.4,16.5,1,"2.54","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2214000
"18765","Сокуры",1,91.21,65.01,21.13,5,"3","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5928650
"18766","Челябинск",8,40.63,26.36,19.75,1,"2.64","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2437800
"18767","Тюмень",4,73.54,40.14,15.54,3,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150000
"18769","Самара",15,53.4,25.4,15,2,"2.54","0",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3945601
"18770","Новосибирск",11,47.72,18.3,11.3,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910920
"18772","Тюмень",3,65.78,26.56,24.28,2,"2.67","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4720000
"18774","Тюмень",7,35.06,11.23,13.06,1,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200000
"18776","Ставрополь",2,40.6,15.2,11,1,"2.8","0",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410400
