"","view_in_window","count"
"200","На город,на реку",77
"201","На двор",28
"202","На другой дом",200
"203","На другой дом, во двор",80
"204","На другой дом, на улицу",80
"205","На жилые дома",101
"206","На жилые дома, на ул.Тимирязева",17
"207","На запад",63
"208","На лес",120
"209","На лес, на реку, на город",76
"210","На озеро",18
"211","На озеро/на запад",18
"212","На площадь",36
"213","На площадь / В 11 дом",6
"214","На площадь / В 8 дом",6
"215","На площадь / Во двор",12
"216","На пруд",9
"217","На пруд, на частный сектор",9
"218","На реку/Во двор",4
"219","На реку/Парк",4
"220","На север",418
"221","На север/на восток",42
"222","На север/на запад",42
"223","На соседний дом/В поле",26
"224","на улицу",83
"225","На улицу",402
"226","На улицу, на лес",9
"227","На частный сектор",71
"228","На школу",80
"229","На школу / В поле",8
"230","На школу/Ул.Еремина",40
"231","На юг/на запад",12
"232","Обе стороны",45
"233","Парк",36
"234","Парк/Во двор",40
"235","Парковка",30
"236","Парковка, жилой дом",30
"237","Позиция 1, позиция 3",28
"238","Позиция 2, детская площадка",30
"239","Позиция 2, жилой дом",30
"240","Позиция 3, стройка",28
"241","Поле /коттеджи",14
"242","Поле/коттеджи",25
"243","Просп. Советских Космонавтов",16
"244","Просп. Советских Космонавтов, двор",8
"245","Просп. Советских Космонавтов, ул. Серафимовича",8
"246","Пустое пространство",36
"247","Пустое пространство ",22
"248","Пустое пространство, ул. Металлургов",18
"249","Пустое пространство, Частный сектор",21
"250","Ракитовское шоссе",250
"251","Ракитовское шоссе/Московское шоссе",100
"252","Река Ока",156
"253","Река Ока, город",6
"254","Река/двор",46
"255","Река/дорога",23
"256","Река/ЖК",23
"257","Сад, въезд, парковка",9
"258","Сад, дет. площадка",5
"259","Сад, дом №13",2
"260","Сад, дом №14",2
"261","Сад, дом №15",4
"262","Сад, дом №16",1
"263","Сад, дом №2",2
"264","Сад, дома №1, 2",1
"265","Сад, дома №12, 13",1
"266","Сад, парковка",70
"267","Сад, парковка, лес",9
"268","Сад,дом №3",2
"269","Север",296
"270","Север и юг",45
"271","Север, восток",9
"272","Север, Восток",107
"273","Север, запад",1
"274","Север/Восток",31
"275","Север/Запад",1
"276","Север/Юг",8
"277","Северо-восток",172
"278","Северо-запад/Северо-восток",86
"279","Северо-запад/ул. П. Знаменского",21
"280","Секция 2,1",90
"281","Секция 2.2-2-4",176
"282","Секция 2.2-2-4, Город",64
"283","Сибирский тракт, трасса, железная дорога",38
"284","Сибирский тракт, трасса, железная дорога/соседние дома",18
"285","Соседние дома/двор",10
"286","Соседний блок 2, Город",18
"287","Соседний блок 2, двор",8
"288","Соседний блок 2, яхт-клуб",26
"289","Соседний дом/ул. Шолохова",10
"290","Соседний дом/ул. Шолохова, соседние дома",8
"291","Стаомарьевское шоссе, жилой дом,, стойка",10
"292","Старомарьевское шоссе, жилой дом",21
"293","Старомарьевское шоссе, жилой дом, город, стройка",10
"294","Стройка",146
"295","Стройка, город",60
"296","Стройка, жилой дом",28
"297","Стройка, секция 2.2-2-4",48
"298","Стройка, Секция 2.2-2-4",32
"299","Тверитина, Двор",20
"300","Тверитина, Луначарского",25
"301","Трасса",118
"302","Трасса, двор",8
"303","Трасса, двор, жилой дом №15,16",4
"304","Трасса, двор, жилой дом №16,17",4
"305","Трасса, жилой дом №15,16",9
"306","Трасса, жилой дом №16",9
"307","Трасса, жилой дом №16,17",9
"308","Трасса, жилой дом №17",9
"309","Тулачермет",40
"310","Тулачермет, жилой дом",8
"311","Тц",48
"312","Тц, Дом 3",55
"313","Тц, Дом 3, ул. Лакина",9
